,# Features,GBR,KNR,RFR,SVR,RR,XGBR,LightGBM,Time
1,52,"[0.037, 0.0492]","[0.0816, 0.097]","[0.0494, 0.0651]","[0.0844, 0.0987]","[0.0831, 0.1035]","[0.0384, 0.0526]","[0.0583, 0.076]",42.230910539627075
2,45,"[0.0372, 0.0488]","[0.0813, 0.0971]","[0.05, 0.0661]","[0.0845, 0.0988]","[0.0825, 0.1034]","[0.039, 0.0537]","[0.0583, 0.076]",40.51786541938782
3,39,"[0.0371, 0.049]","[0.0892, 0.105]","[0.0504, 0.067]","[0.0863, 0.1047]","[0.0814, 0.1019]","[0.0398, 0.0541]","[0.0583, 0.076]",38.51609563827515
4,31,"[0.0341, 0.0453]","[0.0867, 0.1021]","[0.0488, 0.0645]","[0.0902, 0.1085]","[0.0794, 0.0996]","[0.0392, 0.0537]","[0.0617, 0.0798]",36.61517262458801
5,21,"[0.0354, 0.0485]","[0.0856, 0.1012]","[0.049, 0.0653]","[0.0901, 0.108]","[0.078, 0.0978]","[0.0378, 0.0523]","[0.0598, 0.0777]",33.94545865058899
6,10,"[0.0239, 0.0352]","[0.0835, 0.0978]","[0.044, 0.0608]","[0.0823, 0.1008]","[0.0759, 0.0947]","[0.0238, 0.0352]","[0.0592, 0.0769]",30.33442497253418
7,9,"[0.0262, 0.0381]","[0.0835, 0.0978]","[0.048, 0.0654]","[0.0824, 0.1009]","[0.0759, 0.0946]","[0.026, 0.0372]","[0.0589, 0.0767]",29.904791116714478
8,8,"[0.0233, 0.0346]","[0.0778, 0.094]","[0.0459, 0.0632]","[0.0824, 0.0985]","[0.0749, 0.0934]","[0.0212, 0.0327]","[0.0582, 0.0756]",29.547893524169922
9,7,"[0.0268, 0.0391]","[0.0779, 0.094]","[0.047, 0.0638]","[0.0824, 0.0981]","[0.0741, 0.0924]","[0.0213, 0.0321]","[0.0589, 0.0775]",29.35132145881653
10,6,"[0.0354, 0.0497]","[0.0658, 0.0862]","[0.0478, 0.0629]","[0.0738, 0.0919]","[0.0729, 0.0911]","[0.0269, 0.0379]","[0.0583, 0.0764]",29.43320393562317
